first_seen,score,track,company,title,location,fit_reason,source,url,posted_at,status,id
2026-06-22T06:16:30+00:00,,ml,databricks,PhD GenAI Research Scientist Intern,"San Francisco, California",,greenhouse,https://databricks.com/company/careers/open-positions/job?gh_jid=7011263002,,new,greenhouse:7011263002
2026-06-22T06:16:30+00:00,,swe,stripe,"Software Engineer, Intern","Sydney, Australia",,greenhouse,https://stripe.com/jobs/search?gh_jid=7532256,,new,greenhouse:7532256
2026-06-22T06:16:30+00:00,,ml,pinterest,"PhD Fall Machine Learning Intern (ATG — Visual, Multimodal, and Recommender Systems)","San Francisco, CA, US; Palo Alto, CA, US; Seattle, WA, US; New York, NY, US",,greenhouse,https://www.pinterestcareers.com/jobs/?gh_jid=7255640,,new,greenhouse:7255640
2026-06-22T06:16:30+00:00,,ml,instacart,"Machine Learning Engineer, PhD Intern (Fall)",United States - Remote,,greenhouse,https://instacart.careers/job/?gh_jid=5917202,,new,greenhouse:5917202
2026-06-22T06:16:30+00:00,,ml,instacart,"Machine Learning PhD Intern, Economics (Fall)",United States - Remote,,greenhouse,https://instacart.careers/job/?gh_jid=7532267,,new,greenhouse:7532267
2026-06-22T06:16:30+00:00,,swe,palantir,"Forward Deployed Software Engineer, Internship","Paris, France",,lever,https://jobs.lever.co/palantir/1b6f1d82-d459-4dea-8bc2-8d2ffe6f881a,,new,lever:1b6f1d82-d459-4dea-8bc2-8d2ffe6f881a
2026-06-22T06:16:30+00:00,,swe,palantir,"Forward Deployed Software Engineer, Internship - AUS Government","Sydney, Australia",,lever,https://jobs.lever.co/palantir/395a4483-fc3d-4b77-a500-501923fd0976,,new,lever:395a4483-fc3d-4b77-a500-501923fd0976
2026-06-22T06:16:30+00:00,,swe,palantir,"Forward Deployed Software Engineer, Internship - Defense Tech","Washington, D.C.",,lever,https://jobs.lever.co/palantir/cccfe1bd-f15b-4fe5-b044-c793e7961c1b,,new,lever:cccfe1bd-f15b-4fe5-b044-c793e7961c1b
2026-06-22T06:16:30+00:00,,swe,palantir,"Forward Deployed Software Engineer, Internship - France","New York, NY",,lever,https://jobs.lever.co/palantir/ac0dc094-2480-43c2-8495-26ade227ff4f,,new,lever:ac0dc094-2480-43c2-8495-26ade227ff4f
2026-06-22T06:16:30+00:00,,swe,palantir,"Forward Deployed Software Engineer, Internship - Poland","New York, NY",,lever,https://jobs.lever.co/palantir/d582cd84-14fd-4aa3-b413-15982d286bd9,,new,lever:d582cd84-14fd-4aa3-b413-15982d286bd9
2026-06-22T06:16:30+00:00,,swe,palantir,"Forward Deployed Software Engineer, Internship - US Government","Honolulu, HI",,lever,https://jobs.lever.co/palantir/315f695d-04d1-4a9a-848e-cb2bec7a997e,,new,lever:315f695d-04d1-4a9a-848e-cb2bec7a997e
2026-06-22T06:16:30+00:00,,swe,palantir,"Forward Deployed Software Engineer, Internship - US Government","New York, NY",,lever,https://jobs.lever.co/palantir/e0010393-c300-446f-bf67-fa2ef067f16f,,new,lever:e0010393-c300-446f-bf67-fa2ef067f16f
2026-06-22T06:16:30+00:00,,swe,palantir,"Forward Deployed Software Engineer, Internship - US Government","Washington, D.C.",,lever,https://jobs.lever.co/palantir/e6ff8bf2-135e-474d-ad37-24f490ae1dd2,,new,lever:e6ff8bf2-135e-474d-ad37-24f490ae1dd2
2026-06-22T06:16:30+00:00,,swe,palantir,"Year at Palantir - Forward Deployed Software Engineer, Internship - Commercial","New York, NY",,lever,https://jobs.lever.co/palantir/e6789b17-62fb-4226-a079-f8c17ff19e2d,,new,lever:e6789b17-62fb-4226-a079-f8c17ff19e2d
